name,outer,inner,N,nnz,coo_sd,coo_mflops,coo_sum,coo_l1,coo_l2,coo_l3,coo_bp,csr_sd,csr_mflops,csr_sum,csr_l1,csr_l2,csr_l3,csr_bp,dia_sd,dia_mflops,dia_sum,dia_l1,dia_l2,dia_l3,dia_bp,ell_sd,ell_mflops,ell_sum,ell_l1,ell_l2,ell_l3,ell_bp
g7jac160sc,30,500,47430,564952,200.761133,1099.6,41411,2787498108,122377531,188122,0,420.584257,2303.6,41411,2082510221,111451473,4351,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac100,30,500,29610,335972,202.958362,1111.64,34080,1617941606,73014879,1502,0,411.881288,2255.93,34080,1198817558,66095204,758,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac020,30,1000,9129,52883,273.600120,1495.45,53293,401888787,31636134,57,0,410.473710,2187.2,53293,284961731,23815099,26,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac140,30,500,64089,376395,252.406007,1382.48,10631,1477635991,97841357,2243,0,394.656589,2161.21,10631,1034182120,81477786,2348,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac060sc,30,500,17730,183325,210.448269,1152.66,36788,846196401,39449789,265,0,412.764278,2260.75,36788,610102213,32769710,87,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac160,30,500,47430,564952,200.252859,1096.81,15620,2786330467,127416409,2323372,0,417.554435,2287.02,15620,2085470124,108979467,3233,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac180sc,30,500,53370,641290,195.332919,1069.88,64850,3159699087,136903979,15570,0,408.107208,2235.27,64850,2381473728,124140720,7428,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac200,30,500,59310,717620,193.752483,1061.22,13354,3544009803,164931269,5070704,0,411.352229,2253.04,13354,2673763805,137164098,5598,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac020sc,30,5000,5850,42568,242.659757,1328.71,5120,1450892058,84609327,75,0,394.566971,2160.76,5120,1014199671,64803422,33,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac100,30,500,34454,190224,259.030980,1418.73,1696,815275643,56611389,245,0,391.905227,2146.44,1696,567751044,44721243,555,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac140sc,30,500,41490,488633,201.723984,1104.88,18092,2387631752,104725860,5403,0,416.589943,2281.71,18092,1788366466,98006631,2881,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac040,30,500,18289,106803,273.817887,1499.37,45968,412145184,31145319,41,0,410.471592,2247.98,45968,293154689,22796669,69,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac020,30,5000,5850,42568,242.867642,1329.9,3795,1451619382,70812938,91,0,397.216264,2175.27,3795,1014275125,67365275,123,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac100sc,30,500,45769,268563,271.401687,1486.5,6340,1052893751,71827151,836,0,410.572960,2247.73,6340,748095279,57650596,1062,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac060sc,30,500,20614,111903,263.414249,1442.62,24115,466544779,34015315,81,0,386.129666,2114.7,24115,329623016,26138107,68,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac020,30,5000,6774,33744,263.663152,1443.43,29784,1190614056,93630544,63,0,348.664143,1909.68,29784,889355505,60512356,42,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac080sc,30,500,27534,151063,261.570233,1432.6,52394,639451084,45360467,335,0,392.386851,2149.09,52394,451420198,35427980,103,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac100,30,500,45769,268563,271.404194,1486.52,51856,1053199686,71921612,2011,0,413.605233,2264.21,51856,748011620,56866470,1220,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac120,30,500,41374,229385,258.588126,1416.25,16155,986468446,67638264,767,0,395.476971,2166.02,16155,693945531,55285837,1082,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac010sc,30,10000,2880,18229,256.754447,1404.21,6144,1152115040,62539028,101,0,403.279069,2200.79,6144,844941667,60144,18,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac080,30,500,23670,259648,206.005338,1128.33,59208,1232040553,56087640,710,0,413.653028,2265.62,59208,906476080,50359352,1436,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac100sc,30,500,34454,190224,258.932576,1418.2,44325,814494347,56102442,590,0,392.022389,2147.11,44325,567536304,44563113,426,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac060,30,500,27449,160723,274.639817,1504.18,17581,625825658,44451656,476,0,418.722384,2293.29,17581,443229882,34995536,1015,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ecology1,30,1,1000000,4996000,223.066865,1221.47,60935,39459625,12897762,2042649,0,305.580703,1673.62,60935,30623729,9605361,1581149,0,642.925399,3518.27,60935,30119466,22626584,2893444,0,331.764953,1814.71,60935,39996623,20961380,2660449,0
ecology2,30,1,999999,4995991,223.167966,1222.3,6812,39456549,12916672,2041599,0,305.720532,1673.58,6812,30663971,9507018,1558493,0,465.355708,2548.06,6812,41384062,29906738,3572655,0,341.291151,1869.14,6812,39954723,20969711,2558005,0
G3_circuit,30,1,1585478,7660826,213.658070,1170.2,62801,76600741,22516476,4672921,0,273.756741,1499.15,62801,59817642,18493161,4687270,0,-1,-1,-1,-1,-1,-1,-1,239.635550,1312.19,62801,80888708,38809232,6811227,0
G2_circuit,30,500,150102,726674,241.202088,1321.1,54308,2920724119,230108236,6585088,0,335.700239,1838.7,54308,2181893042,153730056,21725,0,-1,-1,-1,-1,-1,-1,-1,343.224289,1879.91,54308,3294332996,721423773,1275524,0
bibd_81_2,30,100000,3240,3240,341.562148,1868.44,8406,3077056725,6434,75,0,221.375500,1211.83,8406,3057009293,17411,96,0,1288.435359,6955.25,8406,1621524692,617,12,0,456.969001,2501.7,8406,2459896845,8113,139,0
bundle_adj,30,1,513351,20207907,172.643393,945.562,61929,162850518,30866353,6386639,0,408.989907,2239.89,61929,114521988,30390247,5013106,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pfinan512,30,500,74752,596992,229.872778,1259.06,4979,2109368282,136197844,1254587,0,399.880653,2190.14,4979,1449421782,117165727,233108,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finan512,30,500,74752,596992,229.545457,1257.26,4355,2103272680,155394790,5222198,0,397.060957,2174.77,4355,1476857144,109385944,4037,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
comsol,30,1000,1500,97645,178.427728,977.259,32389,623994298,32808499,285,0,464.986023,2545.51,32389,388386901,19500184,50,1,-1,-1,-1,-1,-1,-1,-1,162.855904,891.983,32389,1099263202,59674915,339,0
big,30,1000,13209,91465,287.477568,1574.52,19815,838598666,63603379,223,0,339.624978,1856.89,19815,630899569,32842438,37,4,-1,-1,-1,-1,-1,-1,-1,254.911846,1396.07,19815,1233376877,79822031,112,0
nopoly,30,1000,10774,70842,289.970671,1578.55,5719,632046221,40421040,24,0,343.392921,1873.87,5719,469620377,23057702,62,4,-1,-1,-1,-1,-1,-1,-1,267.783960,1466.69,5719,874193062,38095770,51,0
pesa,30,1000,11738,79566,291.487592,1595.53,986,643279481,44866904,32,0,372.650414,2041.04,986,472347690,30893468,77,2,-1,-1,-1,-1,-1,-1,-1,298.220908,1629.26,986,907884758,42347121,138,0
viscoplastic2,30,500,32769,381326,231.807276,1269.64,56153,1372063252,84562926,1872,0,427.219697,2339.93,56153,956849084,63048776,1251,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
viscoplastic1,30,1000,4326,61166,235.228570,1286.32,44480,431662176,23497681,43,0,451.742406,2474.2,44480,290885319,16818672,28,2,-1,-1,-1,-1,-1,-1,-1,171.239335,936.644,44480,947771058,29957215,72,0
sts4098,30,1000,4098,72356,219.336972,1201.12,44927,495245328,28410955,53,0,406.133300,2188.33,44927,334871415,18520266,92,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thermomech_TK,30,500,102158,711558,221.345048,1212.33,19942,8591697682,2198533290,22587623,0,277.413976,1519.45,19942,7797457110,1838215487,36804,6,-1,-1,-1,-1,-1,-1,-1,252.106213,1380.83,19942,7964284199,1853768784,332625,0
thermomech_TC,30,500,102158,711558,225.601302,1235.63,61452,8596917235,1975137470,749877,0,275.038405,1506.44,61452,7790184140,1912542119,52547,6,-1,-1,-1,-1,-1,-1,-1,249.703385,1367.68,61452,7967316804,1973895683,717090,0
FEM_3D_thermal1,30,500,17880,430740,223.732194,1225.42,8584,1428422093,76017006,2171,0,488.016026,2672.94,8584,951599251,59926728,1600,1,-1,-1,-1,-1,-1,-1,-1,396.205490,2170.08,8584,1889199603,233496655,932,0
thermomech_dK,30,1,204316,2846228,175.933307,963.125,724,34249337,16434376,3601549,0,285.623052,1563.43,724,29665897,14760433,2918880,2,-1,-1,-1,-1,-1,-1,-1,202.346859,1108.11,724,52564668,21204928,2679544,0
